Player,Pos,MP,Min,Mn/MP,Player_ID,Calculated_Mn_MP,Mn_MP_Difference
Casemiro,MF,5,379.0,76.0,4d224fe8,75.8,0.20000000000000284
Luka Modrić,MF,4,317.0,79.0,6025fab1,79.25,0.25
Brian Gutiérrez,MF,4,198.0,50.0,d88f31db,49.5,0.5
Alexis Mac Allister,MF,8,750.0,94.0,83d074ff,93.75,0.25
Noni Madueke,MF,5,286.0,57.0,bf34eebd,57.2,0.20000000000000284
Rodri,MF,8,724.0,91.0,6434f10d,90.5,0.5
Mathew Leckie,MF,1,60.0,60.0,b93b7882,60.0,0.0
Aníbal Godoy,MF,1,1.0,1.0,2d496ca3,1.0,0.0
Nico Williams,MF,6,113.0,19.0,afdc14d7,18.833333333333332,0.16666666666666785
Damián Bobadilla,MF,4,189.0,47.0,ad7d6437,47.25,0.25
Nikola Vlašić,MF,3,189.0,63.0,aa8e289e,63.0,0.0
Dodi Lukebakio,MF,3,164.0,55.0,0c61c77c,54.666666666666664,0.3333333333333357
Nasser Al-Dawsari,MF,3,207.0,69.0,7709e4a6,69.0,0.0
Nicolás De La Cruz,MF,3,86.0,29.0,8fda5c72,28.666666666666668,0.33333333333333215
Youssef Amyn,MF,1,31.0,31.0,10c12f22,31.0,0.0
Carney Chukwuemeka,MF,3,83.0,28.0,b2f9c73e,27.666666666666668,0.33333333333333215
Azzedine Ounahi,MF,6,435.0,73.0,83299cc0,72.5,0.5
Maghnes Akliouche,MF,1,8.0,8.0,b625b241,8.0,0.0
Jackson Irvine,MF,4,223.0,56.0,4637747c,55.75,0.25
Paul Wanner,MF,4,234.0,59.0,cb64672e,58.5,0.5
Kieran Tierney,MF,2,104.0,52.0,fce2302c,52.0,0.0
Ryan Thomas,MF,3,83.0,28.0,95efdac2,27.666666666666668,0.33333333333333215
Louicius Deedson,MF,3,112.0,37.0,f7059bb1,37.333333333333336,0.3333333333333357
Eom Ji-sung,MF,2,42.0,21.0,3a049da1,21.0,0.0
Eberechi Eze,MF,5,211.0,42.0,ae4fc6a4,42.2,0.20000000000000284
Morgan Rogers,MF,7,339.0,48.0,2e5915f1,48.42857142857143,0.4285714285714306
Fares Chaïbi,MF,4,360.0,90.0,357103bd,90.0,0.0
Kenan Yıldız,MF,3,218.0,73.0,d8cda243,72.66666666666667,0.3333333333333286
Nicolás Paz,MF,2,71.0,36.0,01bb93d5,35.5,0.5
Hassan Al-Haydos,MF,2,57.0,29.0,41bd6c64,28.5,0.5
Jamiro Monteiro,MF,4,281.0,70.0,d384bddd,70.25,0.25
Daichi Kamada,MF,4,329.0,82.0,15b287da,82.25,0.25
Elliot Anderson,MF,8,632.0,79.0,de31038e,79.0,0.0
Marwan Attia,MF,5,434.0,87.0,1ea3d7ec,86.8,0.20000000000000284
Aleksandar Pavlovic,MF,4,272.0,68.0,2658c82f,68.0,0.0
Ali Jasim,MF,2,129.0,65.0,1a927a6f,64.5,0.5
Akmal Mozgovoy,MF,3,216.0,72.0,114cb95b,72.0,0.0
Richard Ríos,MF,5,140.0,28.0,72da065d,28.0,0.0
Sphephelo Sithole,MF,3,229.0,76.0,33bcd4b3,76.33333333333333,0.3333333333333286
Zidane Iqbal,MF,3,188.0,63.0,6fa3c28e,62.666666666666664,0.3333333333333357
Bara Sapoko Ndiaye,MF,1,26.0,26.0,fa080d50,26.0,0.0
Riyad Mahrez,MF,4,262.0,66.0,892d5bb1,65.5,0.5
Amer Jamous,MF,1,15.0,15.0,32d4f1e1,15.0,0.0
Houssem Aouar,MF,3,173.0,58.0,a5db0bec,57.666666666666664,0.3333333333333357
Garry Rodrigues,MF,2,76.0,38.0,149895bf,38.0,0.0
Ousmane Dembélé,MF,8,592.0,74.0,b19db005,74.0,0.0
Khalid Al Ghannam,MF,1,1.0,1.0,c16843c7,1.0,0.0
Nilson Angulo,MF,4,218.0,55.0,a9b9d89c,54.5,0.5
Nicolás González,MF,7,259.0,37.0,2374aaca,37.0,0.0
Bukayo Saka,MF,7,358.0,51.0,bc7dc64d,51.142857142857146,0.1428571428571459
Yoel Bárcenas,MF,3,249.0,83.0,b39849eb,83.0,0.0
Adrien Rabiot,MF,7,585.0,84.0,8794e251,83.57142857142857,0.4285714285714306
Jacob Shaffelburg,MF,5,92.0,18.0,339a2561,18.4,0.3999999999999986
Mohanad Lasheen,MF,4,359.0,90.0,8c041c7d,89.75,0.25
Noor Al Rawabdeh,MF,3,270.0,90.0,3bb06c86,90.0,0.0
Anis Hadj Moussa,MF,3,98.0,33.0,7bc7eef2,32.666666666666664,0.3333333333333357
Niko Sigur,MF,3,126.0,42.0,5c56986b,42.0,0.0
Lukáš Červ,MF,2,163.0,82.0,bb4a41bc,81.5,0.5
Mohammad Ghorbani,MF,1,90.0,90.0,4a078e18,90.0,0.0
Alan Minda,MF,1,55.0,55.0,9cfd5b00,55.0,0.0
Sofyan Amrabat,MF,3,147.0,49.0,5a2cb25d,49.0,0.0
Yunus Akgün,MF,2,88.0,44.0,1453e3cf,44.0,0.0
Christian Pulisic,MF,4,223.0,56.0,1bf33a9a,55.75,0.25
Paul Okon-Engstler,MF,4,197.0,49.0,ecd6464a,49.25,0.25
Saeid Ezatolahi,MF,3,264.0,88.0,314d95ac,88.0,0.0
Esmir Bajraktarevic,MF,4,230.0,58.0,dff24174,57.5,0.5
Jhon Arias,MF,5,377.0,75.0,86d96066,75.4,0.4000000000000057
Elliot Stroud,MF,4,166.0,42.0,ff11bdec,41.5,0.5
Morten Thorsby,MF,1,45.0,45.0,d1b49282,45.0,0.0
Josué Casimir,MF,3,182.0,61.0,481f76cf,60.666666666666664,0.3333333333333357
Danilo Santos,MF,4,46.0,12.0,a816dbfb,11.5,0.5
Khojiakbar Alijonov,MF,2,135.0,68.0,e53cbd7a,67.5,0.5
Kendry Páez,MF,1,12.0,12.0,f3bb9f59,12.0,0.0
Ruben Providence,MF,3,220.0,73.0,26bab383,73.33333333333333,0.3333333333333286
Assane Diao,MF,1,10.0,10.0,8ae7d0ec,10.0,0.0
Daizen Maeda,MF,3,244.0,81.0,395451fc,81.33333333333333,0.3333333333333286
Besfort Zeneli,MF,2,60.0,30.0,6be253bf,30.0,0.0
Youri Tielemans,MF,5,474.0,95.0,56f7a928,94.8,0.20000000000000284
Bernardo Silva,MF,4,97.0,24.0,3eb22ec9,24.25,0.25
Ben Old,MF,3,93.0,31.0,e14e818c,31.0,0.0
Gabriel Martinelli,MF,4,143.0,36.0,48a5a5d6,35.75,0.25
Stephen Eustáquio,MF,5,392.0,78.0,577efaec,78.4,0.4000000000000057
Samu Costa,MF,1,21.0,21.0,76c2a023,21.0,0.0
Braian Ojeda,MF,1,22.0,22.0,60953af0,22.0,0.0
Ahmed Fathy,MF,3,150.0,50.0,f2369793,50.0,0.0
Marcel Sabitzer,MF,4,360.0,90.0,e280527c,90.0,0.0
Abbosbek Fayzullayev,MF,3,220.0,73.0,ef1d36a1,73.33333333333333,0.3333333333333286
Pape Matar Sarr,MF,2,67.0,34.0,feb5d972,33.5,0.5
Francisco Conceição,MF,4,126.0,32.0,5ef3d210,31.5,0.5
Emam Ashour,MF,5,362.0,72.0,31b7d437,72.4,0.4000000000000057
Jude Bellingham,MF,8,614.0,77.0,57d88cf9,76.75,0.25
Ardon Jashari,MF,3,72.0,24.0,889588db,24.0,0.0
Bruno Guimarães,MF,5,416.0,83.0,82518f62,83.2,0.20000000000000284
Livano Comenencia,MF,3,233.0,78.0,c9d96dc1,77.66666666666667,0.3333333333333286
Nicolas Seiwald,MF,4,315.0,79.0,28c6e925,78.75,0.25
Edo Kayembe,MF,3,160.0,53.0,f99b71de,53.333333333333336,0.3333333333333357
