Player,Pos,MP,Min,Mn/MP,Player_ID,Calculated_Mn_MP,Mn_MP_Difference
Derek Cornelius,DF,4,315.0,79.0,577744b8,78.75,0.25
Samu Costa,MF,1,21.0,21.0,76c2a023,21.0,0.0
Pau Cubarsí,DF,8,750.0,94.0,cc7888f3,93.75,0.25
Andrés Cubas,MF,5,480.0,96.0,9b40a6ea,96.0,0.0
Marc Cucurella,DF,8,750.0,94.0,1daec722,93.75,0.25
Findlay Curtis,MF,2,9.0,5.0,e2a68b89,4.5,0.5
Danilo,DF,5,405.0,81.0,94b2001f,81.0,0.0
Kevin Danso,DF,4,241.0,60.0,6e33125f,60.25,0.25
Vladimír Darida,MF,1,54.0,54.0,3eb0f2df,54.0,0.0
Erick Davis,DF,2,4.0,2.0,2ffb0739,2.0,0.0
Nasser Al-Dawsari,MF,3,207.0,69.0,7709e4a6,69.0,0.0
Salem Al-Dawsari,MF,3,245.0,82.0,60ee859c,81.66666666666667,0.3333333333333286
Kevin De Bruyne,MF,5,382.0,76.0,e46012d4,76.4,0.4000000000000057
Maxim De Cuyper,DF,6,442.0,74.0,d494882e,73.66666666666667,0.3333333333333286
Luc De Fougerolles,DF,5,372.0,74.0,45c427ff,74.4,0.4000000000000057
Nicolás De La Cruz,MF,3,86.0,29.0,8fda5c72,28.666666666666668,0.33333333333333215
Rodrigo De Paul,MF,7,491.0,70.0,162efffd,70.14285714285714,0.1428571428571388
Amar Dedić,DF,3,270.0,90.0,bc6e544a,90.0,0.0
Louicius Deedson,MF,3,112.0,37.0,f7059bb1,37.333333333333336,0.3333333333333357
Hannes Delcroix,DF,3,270.0,90.0,b737f944,90.0,0.0
Ousmane Dembélé,MF,8,592.0,74.0,b19db005,74.0,0.0
Merih Demiral,DF,2,180.0,90.0,e3cceee6,90.0,0.0
Sergiño Dest,MF,5,297.0,59.0,5976f83e,59.4,0.3999999999999986
Frans Dhia Putros,DF,1,90.0,90.0,0102aa7e,90.0,0.0
Assane Diao,MF,1,10.0,10.0,8ae7d0ec,10.0,0.0
Habib Diarra,MF,3,143.0,48.0,6d0fe035,47.666666666666664,0.3333333333333357
Rúben Dias,DF,4,360.0,90.0,31c69ef1,90.0,0.0
Krépin Diatta,DF,4,390.0,98.0,8104e41e,97.5,0.5
Brahim Díaz,MF,6,457.0,76.0,407feb71,76.16666666666667,0.1666666666666714
Lucas Digne,DF,6,463.0,77.0,1b84dbe1,77.16666666666667,0.1666666666666714
Diney,DF,4,390.0,98.0,d2e33ba2,97.5,0.5
Ousmane Diomande,DF,1,90.0,90.0,394be156,90.0,0.0
Issa Diop,DF,5,476.0,95.0,a712ca2b,95.2,0.20000000000000284
El Hadji Malick Diouf,DF,3,171.0,57.0,bd5eb2e5,57.0,0.0
Ritsu Doan,MF,4,278.0,70.0,d01bbb6f,69.5,0.5
Jeremy Doku,MF,5,309.0,62.0,fffea3e5,61.8,0.20000000000000284
Merchas Doski,DF,3,270.0,90.0,fdf4cfe5,90.0,0.0
David Douděra,MF,1,90.0,90.0,e95b4604,90.0,0.0
Désiré Doué,MF,8,400.0,50.0,9e7483ff,50.0,0.0
Guéla Doué,DF,4,277.0,69.0,b4ef3fb5,69.25,0.25
Deroy Duarte,MF,4,264.0,66.0,6af8fc5b,66.0,0.0
Laros Duarte,MF,4,166.0,42.0,4af3d3c8,41.5,0.5
Jean-Kevin Duverne,DF,2,169.0,85.0,0cbc8baa,84.5,0.5
Roshon van Eijma,DF,1,15.0,15.0,130368de,15.0,0.0
Callan Elliot,DF,1,13.0,13.0,9d6968a3,13.0,0.0
Eren Elmalı,DF,2,111.0,56.0,8eeb8ba4,55.5,0.5
Nico Elvedi,DF,6,600.0,100.0,48035304,100.0,0.0
Sherzod Esanov,MF,1,1.0,1.0,bd6667ba,1.0,0.0
Fidel Escobar,DF,1,90.0,90.0,4991ec66,90.0,0.0
Pervis Estupiñán,MF,2,89.0,45.0,d38fdf53,44.5,0.5
Stephen Eustáquio,MF,5,392.0,78.0,577efaec,78.4,0.4000000000000057
Saeid Ezatolahi,MF,3,264.0,88.0,314d95ac,88.0,0.0
Eberechi Eze,MF,5,211.0,42.0,ae4fc6a4,42.2,0.20000000000000284
Henrik Falchener,DF,1,65.0,65.0,57fe6b9b,65.0,0.0
Marko Farji,MF,2,54.0,27.0,e046cff6,27.0,0.0
Ahmed Fathy,MF,3,150.0,50.0,f2369793,50.0,0.0
Ahmed Fatouh,DF,3,267.0,89.0,de13286d,89.0,0.0
Abbosbek Fayzullayev,MF,3,220.0,73.0,ef1d36a1,73.33333333333333,0.3333333333333286
