Player,Pos,MP,Mn/MP,Player_ID
Thomas Partey,MF,3,90.0,529f49ab
Marco Pašalić,MF,3,33.0,1866b0f1
Mario Pašalić,MF,4,31.0,e599253a
Nathan Patterson,DF,3,62.0,230f0471
João Paulo Fernandes,DF,2,53.0,afcac9da
Aleksandar Pavlovic,MF,4,68.0,2658c82f
Tim Payne,DF,3,75.0,4e86877c
Nicolás Paz,MF,2,36.0,01bb93d5
Marcus Pedersen,DF,4,59.0,596cc50e
Pedri,MF,8,62.0,0d9b2d31
Kojo Peprah Oppong,DF,2,25.0,37a6fdb3
Pico,DF,4,98.0,faef0f92
Kevin Pina,MF,4,87.0,296026ae
Wagner Pina,DF,1,89.0,9bf22b95
Marin Pongračić,DF,3,90.0,2a6cd437
Jackson Porozo,DF,1,29.0,7d704e92
Pedro Porro,DF,6,94.0,27d0a506
Stefan Posch,DF,4,83.0,7f609bfc
Ruben Providence,MF,3,73.0,26bab383
Marc Pubill,DF,1,1.0,365113c0
Gustavo Puerta,MF,5,94.0,2c08cab0
Christian Pulisic,MF,4,56.0,1bf33a9a
Jarell Quansah,DF,3,66.0,4125cb98
Ramy Rabia,DF,5,74.0,e32afa36
Adrien Rabiot,MF,7,84.0,8794e251
Stjepan Radeljić,DF,2,90.0,30e03a25
Anthony Ralston,DF,2,6.0,56208b05
Jiovany Ramos,DF,2,83.0,30cda59f
Jesse Randall,MF,3,20.0,513ec88e
Nizar Al Rashdan,MF,3,85.0,feaa0ffd
Marcus Rashford,MF,6,37.0,a1d5bd30
Nicolas Raskin,MF,6,57.0,dba1f190
David Raum,DF,2,54.0,7d450ed3
Noor Al Rawabdeh,MF,3,90.0,3bb06c86
Tim Ream,DF,4,90.0,28b40c9c
Tijjani Reijnders,MF,3,66.0,afb61630
Omar Rekik,DF,2,90.0,e69e0f7b
Israel Reyes,DF,4,51.0,0db8bbc4
Gio Reyna,MF,5,26.0,7fa4e703
Chadi Riad,DF,4,86.0,b3b9b8b8
Declan Rice,MF,7,80.0,1c7012b8
Chris Richards,DF,4,90.0,0a3d6d2b
Richard Ríos,MF,5,28.0,72da065d
Ró-Ró,DF,3,90.0,8735fe66
Andy Robertson,DF,3,75.0,2e4f5f03
Miles Robinson,DF,1,90.0,782a95d9
Rodri,MF,8,91.0,6434f10d
Garry Rodrigues,MF,2,38.0,149895bf
Ricardo Rodríguez,DF,6,86.0,7f78ad23
Godfried Roemeratoe,MF,1,7.0,a646b710
Morgan Rogers,MF,7,48.0,2e5915f1
Cristian Romero,DF,7,87.0,a3d94a58
Luis Romo,MF,4,66.0,e590bb10
Saed Al-Rosan,DF,1,10.0,f3115445
Antonio Rüdiger,DF,4,66.0,18b896d6
Fabián Ruiz Peña,MF,8,40.0,c0c7ff58
Julian Ryerson,DF,4,56.0,009a4f60
Mustafa Saadoon,DF,1,18.0,928dc5c9
Mahmoud Saber,MF,2,23.0,632c42f5
Marcel Sabitzer,MF,4,90.0,e280527c
Noah Sadiki,MF,4,65.0,645481cc
Michal Sadílek,MF,3,61.0,7c9fa389
Alexis Saelemaekers,MF,4,21.0,ee251371
Bukayo Saka,MF,7,51.0,bc7dc64d
Anass Salah-Eddine,DF,4,53.0,0d274394
Nathan Saliba,MF,3,61.0,44cfc681
William Saliba,DF,6,80.0,972aeb2a
Shurandy Sambo,DF,1,1.0,4b1d5a70
Davinson Sánchez,DF,5,96.0,da7b447d
Jorge Sánchez,DF,4,87.0,c8d1c3a5
Leroy Sané,MF,4,82.0,2b114be3
